今 古
桃源如度索 琴水好垂纶
歌妓青油舫 新篘白葛巾
过从无约束 含鼓任天真
死继修文职 生同命契言
拮据无素产 跌宕有清尊
白髪收经术 朱幡仗主恩
铲埋争焕发 识汗必腾奔
海岱神犹王 风云变可论
毁真销至骨 招不返游魂
旧客高阳少 诸生稷下存
一经遗鲁壁 匹练傍吴门
飞书购闽越 挟策走匈奴
一入楼船幕 双悬虎豹符
蒿莱国士见 乔木世臣俱
接武人如玉 敦诗将是儒
残碑无一字 堕泪有千年
敌折从恩巧 君明得让偏
吞吴付身后 荐杜及生前
似展襄江阔 长増岘首妍
山简一时适 习家千古亭
中原天扰扰 刺史日冥冥
白君晩始得 一子仅七岁
帢人何在铜 鞮客试听池
留歌眼碧峰 压酒痕青胜
分峨云作戍 如灧雪成堆
忽頫龙宫迫 俄惊鸟道开
旌旗从地涌 鼓吹薄岩回
无虎心时动 非猿响亦哀
麇子甘从徙 郧公肯再来
里元春雪地 官亦白云司
清世无哀郢 良辰有浴沂
斵轮余老手 推毂付佳儿
景爱扶藜慢 甘从噉蔗迟
末法开金相 真王得寳符
天从百战顺 人役万灵趍
羽卫齐宸极 丹青出睿谟
神功随现有 至理入论无
帝居开显赫 天路入岧嶤
薜网云常挂 松珠露不消
步将尘世隔 境许俗心调
圣水流仍暖 仙衣静自揺
鸟道春元合 龙宫夜不扃
摩云峰展纛 掷火帝流铃
倦引投枝易 寒惊洒面醒
更衣朝紫极 添篆读黄庭
芙蓉寒不谢 仙掌近还空
地是钩盘上 桥从贯索通
日轮团倐火 天乐断罡风
麇氏为宗国 幽方反寓公
忽传中散驾 云自谼中来
九方轻牝牡 八尺是龙騋
虚左成均席 登歌京兆杯
名髙鳷鹊观 气逸鳯凰台
六舘峥嵘重 三都次第裁
君今读书处 披槛湖波平
鸥鸟时时下 条风个个轻
一群飞的历 数点立分明
忽破春山翠 平添烟水清
孤栖如有约 一饱便无营
愧杀鵷行地 愁听凤沼名
不独藏鸦稳 兼令去鷁迷
三眠初作絮 百和欲成泥
旖旎粘轻浪 顚狂扑大堤
青丝愁绾折 红袖惜分擕
灞岸云初起 薇垣日未西
一枝从主赐 全树借卿栖
儤直星为柳 含香舌是鸡
河阳籹面好 京兆黛眉低
离筵一尊酒 还试五时衣
白简名逾重 青蒲事渐非
湛惊新露渥 聚讶旧星稀
莫以天颜瘦 应推海宇肥
暮云人怨别 乔木尔飜飞
黄口依人惯 青衫恋旧深
娵隅朝暮馔 谢豹短长吟
泣玉它年价 衔珠此日心
渐因穷刺骨 飜作怨知音
行止吾天袠 文章尔陆沉
数椽分孺子 一衲老藂林
微阳欲动后 老我未生前
但喜初长日 毋论向暮年
悟来仍悄悄 收得渐绵绵
线任儿曹益 弧从耆宿悬
无辨存臣节 扳留见帝仁
从它贝锦客 不是蠒丝臣
北极丹心苦 函关紫气真
泪枯縁国士 心死作山人
庙廊稀阙事 泉石易为绳
魔总百相娆 佛还三不能
岂予眞白璧 劳彼任青蝇
会得无身语 依然有髪僧
江湖元自阔 风浪定来澄
嘿嘿时弹指 凉凉对抚膺
尺书传令弟 三益喜良朋
草赋推司马 莼心托季鹰
非关怨揺落 业已削飞腾
南州士问媺 北阙帝恩繁
稍慰晨昏恋 仍闻诗礼尊
出从鱣席授 归向鲤庭论
荀令香虽冷 何郎粉尚温
通家余濩落 乔木尔飞飜
获保野人业 能忘眞宰恩
风颷倐以过 桃李竟何言
问寝春朝美 披襟游思生
客愁过夏缓 诗句渡江清
指点娄侯国 徘徊亚子城
抚剑思前事 登坛属后人
树同司马大 瓜救故侯贫
磊块聊全酒 逍遥且任真
围棋闲访谢 击缶或歌秦
五言欺大厯 只字逼先秦
宦拙犹循吏 名逃是逸民
长揩翫世眼 谁证到头身
珠玉堪娱老 金绯不救贫
甘从绛县食 懒作豫章宾
双蹑匡庐屐 孤垂彭蠡纶
云鸿同意态 海鹤鬭精神
彩笔天教健 清尊道并醇
纵无儿女态 犹剧歳时心
恬憺吾惭我 蹉跎日至今
衰颜不解事 狂态覔知音
有鐡皆成错 无弦始是琴
人识书淫疾 天私党锢年
浮名日者传 乐事雪儿弦
尚作非熊梦 俄成赋鵩篇
遗文六季尽 新语众人传
罢理登山屐 谁偿卖赋钱
清朝倦黄阁 黄髪岸乌纱
疏傅金虽少 香山社可夸
比邻共鸡黍 近水足鱼虾
汝逐华胥梦 人呼畏垒家
霜余大令橘 暑忆故侯瓜
往事存乔木 流年问落花
相印非时授 天书特地临
一鳌堪立极 万象想为霖
众讶商岩梦 吾知颍水心
恋从乌鸟剧 愁向鶺鴒深
朝市安从美 山林老亦侵
共迎丞相斾 还是孝亷船
应象三台外 降心一叟前
尧天从汝阔 佛日傍吾偏
取适难为境 贪闲亦碍禅
此时羊太傅 对客理隂符
且捉玉如意 暂疎金仆姑
清言宁误晋 雅志在吞吴
海静烽堪冷 时平将自儒
越女兴犹剧 夕隂将奈何
攀藤齗纎指 蹑草涴轻罗
石碍莲双朶 泥沾玉一窝
小夺琴中理 时添酒外骄
廻光泛芍药 遗响逗芭蕉
偶尔当三伏 欣然至久要
一雨吐新蛤 千村生夏凉
传呼邑侯至 能使野人忙
早麦鸠堪噎 邻篘蚁借尝
微言露雄白 小坐逼昏黄
有懒酬髙谊 无求恕老狂
今看孺子榻 犹带令君香
车马初疑梦 闾阎未忍忘
远公一开社 陶令不眉攅
为识黄金界 翻憎白玉棺
晨钟僧粥暖 夜呗佛灯寒
狮子现毛孔 莲花生舌端
归心雁门市 初服鹿皮冠
莫言初地小 但觉四天宽
面面芙蓉镜 层层薜荔冠
一泓鶖眼碧 九点鹫头丹
呗响波声合 渔歌夜色残
经归龙藏易 僧结蜃楼难
我醉声闻酒 谁施法喜餐
倦分禅榻卧 闲借佛书看
五湖三畆地 千古一丛林
不坏金刚座 长抽碧玉簮
火齐摇塔杪 菡蓞涌波心
汝有志公锡 何劳长者金
聚沙縁自昔 塡海愿如今
一食分僧钵 三衣借客衾
鱼谙放生乐 鸟和讽经音
晩膺西汉诏 孝弟力田人
好语时依口 穷愁不上颦
兰枝叶已茂 蔗境事方新
书是丰城剑 僧为南浦鳞
直繇深气谊 宁独慕沈沦
念君饶异物 惭余非异人
三绝何能报 四愁虚自论
才眞如太傅 老不慕平津
第读飬生主 何论观国宾
鸥闲知易饱 鹤瘦不闗贫
间引诗娱性 毋劳酒飬醇
芝兰长自玉 竹柏得其真
园种樊侯漆 溪收张翰莼
清才岂我下 黄绶属城偏
七畧元刘向 诸生仰郑虔
扶藜过五壠 探蠡酌甘泉
井自心源出 亭因览秀传
狎闻骢马使 时祀碧鸡神
自尔輶轩发 能开象魏新
坐令骄帅摄 行得悍王驯
斧划昆明曙 鞭廻僰爨春
片言摇地轴 尺疏动星辰
蛮府音从革 奚囊句尽珍
乍惊颜转少 相对意俱玄
贮腹有千巻 问囊无一钱
尽驱妻子累 翻结宰官缘
泣路支离叟 怀人党锢篇
自因长住世 那可不忧天
甚矣吾衰矣 其然君岂然
家传和靖隐 人识孝亷名
必轶齐梁驾 还追李杜盟
有雏俱五彩 合璧并连城
纶綍传西掖 冠裳自上京
峯如双髻黒 身似九仙轻
小饮收春树 端居咏太平
及尔操觚日 逢余瘗砚年
曹溪一偈后 衣钵几人传
琢叶妨元气 拈花合自然
思超灵鹫表 格逸景龙前
拈来摄山草 吹著后庭风
佛日不相照 君恩难望终
犹输孔范死 虗慨鲁侯忠
搏颊咸阳市 伤心建业宫
久钦鲸力大 不尽凤毛奇
业称元方弟 名髙蔡克儿
有才疑梦笔 无意仅为箕
天向金陵辟 虹从赤董垂
诸生俱避席 祭酒亦低帷
栁态犹长绪 兰心祗项斯
白龙衡划堑 丹鹫逺排空
寳树青冥底 金茎紫气中
曼殊分化迹 石跪逊人工
岭似髙低鸑 城疑断续虹
一依文佛日 四起大王风
目极神从爽 心清境自同
万古一诗在 青山白髪憎
云孙更蹭蹬 雪曲有飞腾
桃叶双头檝 芙蓉半臂绫
一书存友道 迁客是君恩
襆被辞京府 倾都恸国门
江云自舒巻 山色任晴昏
剩得支离叟 空为欵曲言
词人武林社 天子大官丞
醉态倾嵇叔 高标愧李膺
望迷金掌露 坐莹玉壶氷
我自难燕市 君应乞秣陵
更藉空王力 高明传至今
蒲轮三起诏 螭首一纶青
虽表旌贤媺 终非遯世心
十年真畏友 片语足儿师
访我金陵夕 犹衔璧刖悲
三山横秀色 六代吐雄词
是处堪携酒 何妨且咏诗
绸缪追往事 飞动卜前期
卓尔松筠操 皎然氷玉姿
已标循吏冠 复作儒林师
左蠡扬澜日 丰城辨斗时
青衿归水鉴 绛帐吐风仪
鹭渚飞扬斾 鸡山黯澹巵
平驱银海立 忽卷雪山来
汹汹喷晴雪 殷殷动逺雷
千艘催簸荡 万弩屈喧豗
笑缓枚生发 争先伍相才
老人惊未覩 尊酒喜重开
飞瀑庐山破 奔流砥柱摧
不厌饥时麦 难挑旱后蔬
沈沦诗更好 飞动意能无
莫以鹬冠聚 尤深鱼服虞
时清宁任侠 宦薄且为儒
谁携若下酒 来唤子猷船
屑玉玄谈媺 披沙丽句圆
书探龙爪秘 畵得虎头传
薄俗人难傍 穷居地自偏
何妨号城市 亦自饱云烟
入坐青山满 沿阶绿树圆
馔饶三九菜 酒靳十千钱
驻户桓生马 裁诗薛氏笺
君王书上考 宴饯下承明
不爱东胶赏 俱称召伯荣
三提长官印 十稔临安城
草木沾恩泽 江山识姓名
官如两髙峻 人比孤山清
休汝冠裳会 留恂父老情
畵熊犹缓发 竹马已先迎
久偃扶桑颶 仍留下濑兵
万庾敖仓粟 千帆下濑兵
伊谁任保障 南北一书生
命岂冯唐晩 恩元介子轻
拮据双鬓在 留滞寸心明
金紫当年物 丹青异日名
除书厯下里 襆被斗邉城
家接三江近 人如九派清
地分齐渤海 亲比汉朱虚
壁有先贤籍 门多处士车
蛟龙一夕变 鸡犬亦无余
明月空丹辇 流云自绮疏
烽火年年是 乾坤处处残
仓皇趋白羽 澒洞及黄冠
忽改汾阳色 知登汉将坛
劒客雄争奋 兵符静不讙
挥鞭画吴海 飞捷动长安
名已丹青刻 嚢毋赤白看
渔樵吾计晩 戈甲此身难
筹策须时定 农耕稍自宽
伯氏既以屈 汝诗欲何为
清淮破白后 上蔡飞苍时
兄酬复弟劝 吹埙还和箎
吴下忝两陆 汝南推二陈
毋论青云器 各致白雪身
五马驱騀駊 双鸿散逡巡
晋楚齐秦匹 东西南北人
一棹沧江色 孤城落木时
应门懽竞发 倒屣唤犹迟
青眼穷交甚 苍头夙嗜知
岕茶云入筥 渚稻雪分匙
软剥迎霜栗 纎供裛露葵
鹿寒红玉肪 鲂鱠白银丝
画烛双频换 清尊百不辞
坐移难辨客 谈胜各相师
远漏寒声短 疎棂曙影窥
我自愁梁狱 君能操越吟
古今成握手 天地各抽簮
急难朋情露 艰虞物态侵
一官身并掷 万巻恨俱沈
病但怜埋玉 穷谁问铄金
芰荷辞世早 萝薜畏人深
风郁铜川色 云横石室阴
烟波迟执绋 山水怅知音
使气平津邸 纵横剧孟场
一朝顿错莫 万事皆摧藏
下客弹蒯铗 群臣和栢梁
方朔饥欲死 次公醒而狂
颇自夸鹦鹉 徒能惜鷫鸘
时时傍黄射 卒卒付阳昌
因尔动秋兴 翻然归故乡
荜门栖倦雀 蓬室掩寒螀
长统无乐志 安仁有悼亡
我有王维句 重贻张仲行
玉看家宅相 花作板舆程
峰色两髙紫 松阴九里清
忘忧行际草 惜别梦中荆
钿寳施贫域 箆金引化城
旧读何侯传 能贻宦后思
莫寻陶令兴 便托去来辞
客席今虚左 王门尽自冝
赋髙梁苑雪 花满鬰林枝
八蚕清转励 五马重仍分
瘴色凭骢破 乡书与雁闻
名题岘山月 诗忆幔亭云
狱吏愁丹笔 门人惜练裙
乱烟萦处合 幽梵坐来停
薜挂疑相媚 松眠乍欲醒
遥淙鬭飞白 断壁吐空青
涧发琴中水 池添镜裏星
破萍龟浴甲 缀草鹤梳翎
步步堪回屐 时时忽建瓴
忽自牟尼捧 如从象罔悬
千林青琐碎 一涧碧潺湲
峰夺五湖色 城嘘万井烟
静闻僧偈惋 深现佛灯圆
玉借莲花顶 金添贝叶编
独栖成水观 小坐息尘缘
衰至颇知疾 懒来兼废书
悠然紫薇静 时见白云舒
稚子争为傲 穷交也自疎
卿应用卿法 吾亦爱吾庐
鸡黍从耕有 莺花逐梦除
子桑今自得 泄柳古何如
自展风云略 因窥天地仁
一飡思报主 百战肯谋身
宝剑酬心热 钱刀结侠贫
捣批期尽敌 跳荡不无神
纩挟单言转 醪投万念均
昆阳愁虎豹 充国让麒麟
梦协非熊久 恩看锡马频
重茅颁节钺 双绶绾金银
日月寛南顾 星河捧北辰
验来方渐少 点罢药堪贫
万事须归病 千秋肯傍人
傲春僵后木 愁影钓余鳞
绿醑判教负 黄花也自颦
久甘吾道左 翻得物情真
书癖仍玄晏 诗名岂照隣
此生唯泣鹄 不死为丸熊
玉貌先年毁 氷心后日融
天留素机月 人诵栢舟风
太史诗垂采 仙郎籍已通
事归彤管上 名在紫泥中
隽箸时堪进 潘舆乐未穷
一丸分铁瓮 双柱是金鳌
潮压楼台小 云含薜茘高
中峰带海色 半壁漱春涛
僧饭斋时得 乡愁醉裏抛
驾海双轮古 襟天匹练肥
鱼因聴梵出 鹤为瘗铭归
客坐苔能席 僧房薜自衣
争潮渔鼓乱 离岸寺钟微
桥横三辅壮 水压九河雄
的厯琼瑶砌 蜿蜒雾雨笼
神人为驱石 车马若排空
洞偃初亏月 楣飞欲霁虹
梵天从幻降 玄圃或潜通
鲸跃昆池雨 乌惊银浦风
霜蹄催凿落 霞舫破冲瀜
真作布金地 如窥献寳宫
茘薜门初辟 芙蓉服自工
移山一拳小 鞭石五湖空
陵陆须臾事 烟霞指顾中
我仍输老圃 而岂后愚公
雄关蔽全赵 叠嶂拱神京
尺地分寒暑 中天各晦明
秋英开绣壁 夕照吐金城
屋似浮空置 田疑傍汉耕
云根穿作窦 石髓借为粳
树杂旌旗拥 峯陪劒戟迎
符从襄子计 阵拟率然名
广武堪称客 成安未晓兵
风期一代出 眉宇九秋澄
龙产看为骥 鲲游化是鹏
霜蹄寛小蹶 月窟勇先登
法取夔州细 才从大厯増
五言融摆脱 只字鬭骁腾
不作依刘表 谁堪御李膺
天雄驱建节 云卧夺中兴
得汝愁真破 归与老自矜
句淘漳水浊 谈削太行层
无劳长者辙 自有古人书
白眼酬交少 清尊问字虚
禽情寛渐狎 草色傲能舒
业已潜夫就 终难求仲疎
夭矫失秦封 云结诸天座
风和万壑钟 翔空尾鸾凤
山驱丹鹫下 泉卷白龙回
石气清僧席 藤隂袅佛台
寺愧题名隠 诗怜异代才
飘然杖屦去 不爱帛书徵
人拟白衣相 自称黔鬓僧
雄心付磨灭 幽思削凭陵
汗马乾坤小 雕虫岁月増
妙能探众有 穷始向真乘
踏尽空山锡 谁堪续日灯
翠荇波仍绣 丹枫壁自文
路疑千岭尽 山为一江分
夕照高低出 滩声远近闻
薜衣过木客 椒酒问桐君
蓬今开仲蔚 花似识安仁
饷我乌程酒 兼之千里莼
片言心转合 一醉俸堪贫
枭卢捷有神 态知颓玉好
交入断金亲 共爱浮家易
仍夸泽国邻 风尘生塞兑
岁月老知津 予忝分麾旧
千山俱鼎沸 万树各鸱张
迸雨排银镞 飞湍挂玉梁
左担愁绝涧 西顾失连冈
湿束人偏小 愁催路转长
行行畏鱼腹 步步怯羊肠
自哂随车谬 翻疑叱驭狂
青山屋裏岫 院洗涓人马
笼肥内史鹅 酒凭官法贵
肴按食经多 修事羊浑脱
煎肠鹿落河 兎园才竞秀
金谷令从苛 更进婆娑舞
那能诅岱岳 谁与问高天
才去垂三斗 悲来遍八埏
人应疑顿挫 帝或悔陶甄
念尔千夫俊 生操万古权
仁禽产丹穴 仙骥秣青田
妙取星弧发 清惊月胁穿
鉤深百丈饵 抟捷九秋鸇
文许先秦上 诗卑正始还
五言珠错落 一字玉规圆
一丘官自拙 三径意难荒
杖底千秋出 壶中万象藏
构分苍鹿柴 穿得白鸥乡
竹露冩清韵 荷颸来暗香
破云施短屐 过雨进轻航
鸡舌忘为吏 金茎不愿尝
庚桑新畏垒 苦竹旧张庐
孝友元无间 蓬蒿了不除
地今仁里美 池是让泉余
宛尔双桐并 萧然五柳疎
移家无担石 立壁有图书
不改看山户 初迷问字车
不作淄渑异 还疑谷洛争
双龙骄欲斗 万马怒俱鸣
落似并刀剪 来添泮璧明
波臣车毂击 越女棹讴迎
舟楫才将老 烟波计已成
穴堪丹鲤出 天借白鸥盟
片言不称意 匹马遂西游
所至多蓬累 居然一蒯缑
卖文安损价 贳酒迫驱愁
命信天公活 身从地主收
访余归茂苑 每语必营丘
邴俸虽云薄 融尊可暂留
青回斯世眼 白对故人头
缟带郷元贱 绨袍暑不求
懽拥雪儿眠 声酒雄心好
园林胜事专 删诗备九代
为乐及当年 月树传清响
风花杂委钿 庚申尸入譛
单阏鵩来旋 佩黯金鱼色
事徃绨袍易 时平蒯铗难
五言摧落魄 只字问加餐
遣使同端木 逃名可段干
萧条下客具 颠倒竖儒冠
乍看双劒豁 不数五丁雄
一转成开辟 千寻接混融
竦身争鸟道 侧足瞰龙宫
鼍拥髙低石 鲸嘘断续虹
张空帝子乐 叠浪大王风
响答歌増壮 尊扶力未穷
窈窕藏春癖 萦纡选胜繁
倒池深栁色 微雨逗禽言
梓泽真堪号 潘诗许再论
地应占宅相 书可胜家尊
怀中双玉笛 把赠一王郎
不必夸鹦鹉 唯须典鷫鸘
众嫌文士薄 吾爱酒人狂
遂雁回天柱 登楼快武昌
逼汉高开阁 筹边壮写图
指南通海国 走北饷天都
星欲重檐堕 云将列雉扶
淮流遥控楚 江势下吞吴
白马宣房颂 玄熊大禹谟
转输寛戍卒 利涉尽漕舻
匹练通流细 千帆挟雾粗
龙腥春动海 蚌吐夜明湖
羽卫云同合 敖仓雪并铺
已闻迁计相 仍借领兵符
上客平津阁 先朝建礼门
时名五字贵 国体片言尊
倐忽风云变 消揺嵗月存
乍堪鸡作口 不并鹤乘轩
诗即香山社 家为履道园
清时人自失 晩节事重论
题凤吾何避 登龙尔渐敦
诵尔天门句 不风江自涛
千秋无正始 一代见才豪
三山云作供 姑孰水为醪
霞明铜棺日 天堕宫锦袍
岩飞四时雨 树锁一溪云
似借军持滴 疑将梵呗闻
草成璎珞相 石作贝多文
催舞鸡三唱 惊栖鹊数群
潮音喧寂改 曙色去留分
恋恋皈慈氏 沾沾御李君
并秀池塘草 俱为大国香
云霄鸿序近 日月鲤庭长
旧里名通徳 新亭表义方
一经为世业 双璧奏天阊
珪组离尘格 烟霞见贵人
绣盘鸂鶒旧 金蹙茘枝新
鹤骨何妨瘦 霜毛已自鬒
问年方梦猎 有子旧批鳞
为恋舞衣乐 言辞补衮臣
桃源如度索 琴水好垂纶
歌妓青油舫 新篘白葛巾
过从无约束 含鼓任天真
死继修文职 生同命契言
拮据无素产 跌宕有清尊
白髪收经术 朱幡仗主恩
铲埋争焕发 识汗必腾奔
海岱神犹王 风云变可论
毁真销至骨 招不返游魂
旧客高阳少 诸生稷下存
一经遗鲁壁 匹练傍吴门
飞书购闽越 挟策走匈奴
一入楼船幕 双悬虎豹符
蒿莱国士见 乔木世臣俱
接武人如玉 敦诗将是儒
残碑无一字 堕泪有千年
敌折从恩巧 君明得让偏
吞吴付身后 荐杜及生前
似展襄江阔 长増岘首妍
山简一时适 习家千古亭
中原天扰扰 刺史日冥冥
白君晩始得 一子仅七岁
帢人何在铜 鞮客试听池
留歌眼碧峰 压酒痕青胜
分峨云作戍 如灧雪成堆
忽頫龙宫迫 俄惊鸟道开
旌旗从地涌 鼓吹薄岩回
无虎心时动 非猿响亦哀
胁肩峰岝■ 啮履浪喧豗
麇子甘从徙 郧公肯再来
里元春雪地 官亦白云司
清世无哀郢 良辰有浴沂
斵轮余老手 推毂付佳儿
景爱扶藜慢 甘从噉蔗迟
末法开金相 真王得寳符
天从百战顺 人役万灵趍
羽卫齐宸极 丹青出睿谟
神功随现有 至理入论无
帝居开显赫 天路入岧嶤
薜网云常挂 松珠露不消
步将尘世隔 境许俗心调
圣水流仍暖 仙衣静自揺
鸟道春元合 龙宫夜不扃
摩云峰展纛 掷火帝流铃
倦引投枝易 寒惊洒面醒
更衣朝紫极 添篆读黄庭
芙蓉寒不谢 仙掌近还空
地是钩盘上 桥从贯索通
日轮团倐火 天乐断罡风
麇氏为宗国 幽方反寓公
忽传中散驾 云自谼中来
文岂净而浅 人仍美且■
九方轻牝牡 八尺是龙騋
虚左成均席 登歌京兆杯
名髙鳷鹊观 气逸鳯凰台
六舘峥嵘重 三都次第裁
君今读书处 披槛湖波平
鸥鸟时时下 条风个个轻
一群飞的历 数点立分明
忽破春山翠 平添烟水清
孤栖如有约 一饱便无营
愧杀鵷行地 愁听凤沼名
不独藏鸦稳 兼令去鷁迷
三眠初作絮 百和欲成泥
旖旎粘轻浪 顚狂扑大堤
青丝愁绾折 红袖惜分擕
灞岸云初起 薇垣日未西
一枝从主赐 全树借卿栖
儤直星为柳 含香舌是鸡
河阳籹面好 京兆黛眉低
离筵一尊酒 还试五时衣
白简名逾重 青蒲事渐非
湛惊新露渥 聚讶旧星稀
莫以天颜瘦 应推海宇肥
暮云人怨别 乔木尔飜飞
黄口依人惯 青衫恋旧深
娵隅朝暮馔 谢豹短长吟
泣玉它年价 衔珠此日心
渐因穷刺骨 飜作怨知音
行止吾天袠 文章尔陆沉
数椽分孺子 一衲老藂林
微阳欲动后 老我未生前
但喜初长日 毋论向暮年
悟来仍悄悄 收得渐绵绵
线任儿曹益 弧从耆宿悬
无辨存臣节 扳留见帝仁
从它贝锦客 不是蠒丝臣
北极丹心苦 函关紫气真
泪枯縁国士 心死作山人
庙廊稀阙事 泉石易为绳
魔总百相娆 佛还三不能
岂予眞白璧 劳彼任青蝇
会得无身语 依然有髪僧
江湖元自阔 风浪定来澄
嘿嘿时弹指 凉凉对抚膺
尺书传令弟 三益喜良朋
草赋推司马 莼心托季鹰
非关怨揺落 业已削飞腾
南州士问媺 北阙帝恩繁
稍慰晨昏恋 仍闻诗礼尊
出从鱣席授 归向鲤庭论
荀令香虽冷 何郎粉尚温
通家余濩落 乔木尔飞飜
获保野人业 能忘眞宰恩
风颷倐以过 桃李竟何言
问寝春朝美 披襟游思生
客愁过夏缓 诗句渡江清
指点娄侯国 徘徊亚子城
抚剑思前事 登坛属后人
树同司马大 瓜救故侯贫
磊块聊全酒 逍遥且任真
围棋闲访谢 击缶或歌秦
五言欺大厯 只字逼先秦
宦拙犹循吏 名逃是逸民
长揩翫世眼 谁证到头身
珠玉堪娱老 金绯不救贫
甘从绛县食 懒作豫章宾
双蹑匡庐屐 孤垂彭蠡纶
云鸿同意态 海鹤鬭精神
彩笔天教健 清尊道并醇
纵无儿女态 犹剧歳时心
恬憺吾惭我 蹉跎日至今
衰颜不解事 狂态覔知音
有鐡皆成错 无弦始是琴
人识书淫疾 天私党锢年
浮名日者传 乐事雪儿弦
尚作非熊梦 俄成赋鵩篇
遗文六季尽 新语众人传
罢理登山屐 谁偿卖赋钱
清朝倦黄阁 黄髪岸乌纱
疏傅金虽少 香山社可夸
比邻共鸡黍 近水足鱼虾
汝逐华胥梦 人呼畏垒家
霜余大令橘 暑忆故侯瓜
往事存乔木 流年问落花
相印非时授 天书特地临
一鳌堪立极 万象想为霖
众讶商岩梦 吾知颍水心
恋从乌鸟剧 愁向鶺鴒深
朝市安从美 山林老亦侵
共迎丞相斾 还是孝亷船
应象三台外 降心一叟前
尧天从汝阔 佛日傍吾偏
取适难为境 贪闲亦碍禅
此时羊太傅 对客理隂符
且捉玉如意 暂疎金仆姑
清言宁误晋 雅志在吞吴
海静烽堪冷 时平将自儒
越女兴犹剧 夕隂将奈何
攀藤齗纎指 蹑草涴轻罗
石碍莲双朶 泥沾玉一窝
小夺琴中理 时添酒外骄
廻光泛芍药 遗响逗芭蕉
偶尔当三伏 欣然至久要
一雨吐新蛤 千村生夏凉
传呼邑侯至 能使野人忙
早麦鸠堪噎 邻篘蚁借尝
微言露雄白 小坐逼昏黄
有懒酬髙谊 无求恕老狂
今看孺子榻 犹带令君香
车马初疑梦 闾阎未忍忘
远公一开社 陶令不眉攅
为识黄金界 翻憎白玉棺
晨钟僧粥暖 夜呗佛灯寒
狮子现毛孔 莲花生舌端
归心雁门市 初服鹿皮冠
莫言初地小 但觉四天宽
面面芙蓉镜 层层薜荔冠
一泓鶖眼碧 九点鹫头丹
呗响波声合 渔歌夜色残
经归龙藏易 僧结蜃楼难
我醉声闻酒 谁施法喜餐
倦分禅榻卧 闲借佛书看
五湖三畆地 千古一丛林
不坏金刚座 长抽碧玉簮
火齐摇塔杪 菡蓞涌波心
汝有志公锡 何劳长者金
聚沙縁自昔 塡海愿如今
一食分僧钵 三衣借客衾
鱼谙放生乐 鸟和讽经音
晩膺西汉诏 孝弟力田人
好语时依口 穷愁不上颦
兰枝叶已茂 蔗境事方新
书是丰城剑 僧为南浦鳞
直繇深气谊 宁独慕沈沦
念君饶异物 惭余非异人
三绝何能报 四愁虚自论
才眞如太傅 老不慕平津
第读飬生主 何论观国宾
鸥闲知易饱 鹤瘦不闗贫
间引诗娱性 毋劳酒飬醇
芝兰长自玉 竹柏得其真
园种樊侯漆 溪收张翰莼
清才岂我下 黄绶属城偏
七畧元刘向 诸生仰郑虔
扶藜过五壠 探蠡酌甘泉
井自心源出 亭因览秀传
狎闻骢马使 时祀碧鸡神
自尔輶轩发 能开象魏新
坐令骄帅摄 行得悍王驯
斧划昆明曙 鞭廻僰爨春
片言摇地轴 尺疏动星辰
蛮府音从革 奚囊句尽珍
乍惊颜转少 相对意俱玄
贮腹有千巻 问囊无一钱
尽驱妻子累 翻结宰官缘
泣路支离叟 怀人党锢篇
自因长住世 那可不忧天
甚矣吾衰矣 其然君岂然
家传和靖隐 人识孝亷名
必轶齐梁驾 还追李杜盟
有雏俱五彩 合璧并连城
纶綍传西掖 冠裳自上京
峯如双髻黒 身似九仙轻
小饮收春树 端居咏太平
及尔操觚日 逢余瘗砚年
曹溪一偈后 衣钵几人传
琢叶妨元气 拈花合自然
思超灵鹫表 格逸景龙前
拈来摄山草 吹著后庭风
佛日不相照 君恩难望终
犹输孔范死 虗慨鲁侯忠
搏颊咸阳市 伤心建业宫
久钦鲸力大 不尽凤毛奇
业称元方弟 名髙蔡克儿
有才疑梦笔 无意仅为箕
天向金陵辟 虹从赤董垂
诸生俱避席 祭酒亦低帷
栁态犹长绪 兰心祗项斯
白龙衡划堑 丹鹫逺排空
寳树青冥底 金茎紫气中
曼殊分化迹 石跪逊人工
岭似髙低鸑 城疑断续虹
一依文佛日 四起大王风
目极神从爽 心清境自同
万古一诗在 青山白髪憎
云孙更蹭蹬 雪曲有飞腾
桃叶双头檝 芙蓉半臂绫
一书存友道 迁客是君恩
襆被辞京府 倾都恸国门
江云自舒巻 山色任晴昏
剩得支离叟 空为欵曲言
词人武林社 天子大官丞
醉态倾嵇叔 高标愧李膺
望迷金掌露 坐莹玉壶氷
我自难燕市 君应乞秣陵
更藉空王力 高明传至今
蒲轮三起诏 螭首一纶青
虽表旌贤媺 终非遯世心
十年真畏友 片语足儿师
访我金陵夕 犹衔璧刖悲
三山横秀色 六代吐雄词
是处堪携酒 何妨且咏诗
绸缪追往事 飞动卜前期
卓尔松筠操 皎然氷玉姿
已标循吏冠 复作儒林师
左蠡扬澜日 丰城辨斗时
青衿归水鉴 绛帐吐风仪
鹭渚飞扬斾 鸡山黯澹巵
平驱银海立 忽卷雪山来
汹汹喷晴雪 殷殷动逺雷
千艘催簸荡 万弩屈喧豗
笑缓枚生发 争先伍相才
老人惊未覩 尊酒喜重开
飞瀑庐山破 奔流砥柱摧
