春风梳柳燕裁锦 秋雨点芦蛙弄声
万般须顺理,群游乐土,安居永息风烟. 草木济人,勋名超百王而上；
参芩寿世,精英历万古不磨. 辨草性究脉息,同巢燧羲画,默司造化；
典岐伯臣巫彭,异刚柔燥湿,克济群生. 茀禄尔康,福泽共西湖月满；
正直是与,财源如东浙潮来. 梅萼洗寒酸,且教逋老扬眉,葛仙生色；
莺花添富丽,恰称金牛湖上,宝石山边. 有道生财,不必压残金坞,富而可求,求人莫如求己；
无私惠我,何须铸尽铜山,物惟自有,有德自尔有财. 聪明正直谓之神,冥冥难欺,知义利交关,有福善祸淫可据；
南北东西随所往,头头是路,叹痴愚无识,徒持筹幄算何为. 周甲授时,掌天于地支,一纪循环回吉曜；
灵神得岁,荫吴山越水,五行分旺福群生. 六十尊法像,列显明威,尽属东皇统御；
五百载神宫,重新至德,犹存南宋标题. 旗展春风,天上一星常耀彩；
杯邀明月,人间万斛尽消愁. 酌言献酌言,尝人歌不老；
旨且多旨且,有国号长春. 狮峰复古庙,祈年报社荐馨香.
进以功,退以寿,冠冕历三朝,不独虎林怀旧德 赫夫声,濯夫吴,恩膏流万姓,永依龙井护佳城.
历中外者四十年,本忠孝以筹边,岳武穆直追乃武 寿馨香兮八百载,进公侯而称帝,范文正曾撰其文.
墓对狮峰,来看石磴千寻,足与方岩增众望 祠当龙井,愿借清泉一勺,好为正史洗公冤.
生垂惠政泽斯民,赋可宽,苛可除,事业聿昭麟史 阴助王师歼厥寇,声之赫,灵之濯,庙貌重建狮峰.
荣哀名德光千禩 仙隐风流配两湖.
碧水冷银瓶,祠近岳坟追孝媛 青山标石碣,墓邻孙氏聚贞魂.
苦节殉夫,绿水青山堪比洁 贞魂诉父,皇封帝简评成神.
视死如归,只要留节义两字 浮生若梦,何如为名教完人.
劲节励冰霜,松树梅花常作伴 寸心盟日月,湖光山色亦增辉.
鸾凤失依栖,想当年食耻嗟来,清节无愧羊子 湖山著灵迹,看此日冢生连理,瓣香愿拜韩凭.
唐时愍女,汉代孝娥,晖映后先,寸草都存崧子节 不字十年,遂成终古,魂归咫尺,千秋常护女贞枝.
清供湖苹花夜白 坚心霜果树冬青.
青松寒不落 白水清可盟.
一死殉盟言,麦饭招魂认湘水 百年留女诫,梅花挺节傍孤山.
心死十年前,湘水波痕皆血泪 词成绝命后,孤山月影吊贞魂.
秋气塞天地 春社开湖山.
心事重泉盟日皎 冰霜满地长冬青.
盛德芳名长不朽 贞松劲草允同钦.
千古贞风光日月 一抔黄土壮湖山.
土花碧晕啼鹃血 心草红袅卷葹风.
饲鹤调琴,止谈风月 养鱼种竹,不问春秋.
画里移舟,梅边吹笛 墙头唤酒,枕上看湖.
山水足清音,近邻花港观鱼,大有濠濮间意 琴棋消永昼,高卧蕉窗梦蝶,自是羲皇上人.
选胜到里湖,过苏堤第二桥,距花港不数步 系舟登小榭,有奇峰四五朵,又老树两三行.
圣裔遥承,本姬周一线 名词对峙,有左相诸贤.
金溪小筑,苑在一方,其地为虞伯生故址 玉冰分流,汇成五亩,此中有唐山人诗瓢.
自直肃公后,代有闻人,不愧为三祖支流,五仲门第 于明圣湖边,大开相宇,最好在金沙港内,玉带桥头.
溯南荆重望,推北宋名臣,八百年峻节流传,奕叶无忘缵绪意 自东武旧家,拓西湖新址,数十本嘉桐茂豫,孙枝永衍锡圭荣.
筑墓占山水名区,杨柳两堤,如张图画 奏乐作春秋时享,梅花一赋,永播弦歌.
述德启崇楹,闲开花木清娱,犹寓郊祁行雁乐 濒湖寻胜境,大好峰峦缭绕,合将人地卧龙名.
伯仲振家声,昭穆式凭,喜占名区傍玉局 山川钟秀淑,郊祁竞爽,长流世泽抱金沙.
红杏领春风,愿不速客来醉千日 绿杨是烟水,在小新堤上第三桥.
宰相溯家声,诗赋流传,鸿篇诵红杏词妍,观寒梅丽句 林泉客小筑,壶觞雅集,胜景看平湖秋月,朗竺岭还云.
春水船如天上在 秋山人在画中行.
夜渚水明,流水今日 金樽酒满,奇花初胎.
先生何许人,天半朱霞,云中白鹤 君言不得意,风情张日,霜气横秋.
一角占湖山,莫谓栽花傍大道 此间容吏隐,居然临水自成材.
特地见楼台,大隐本来无境界 即此羡闲逸,先生有道出羲皇.
刚自越州来,忆东浙旧游,曾领略万壑涛声,四明山色 欲寻盘谷去,被西湖留住,尽消受六桥烟景,三竺风光.
夹道起层楼,水抱山回,饱看曲园风荷,长堤烟柳 此村真胜地,渔歌樵唱,俨若桃源仙境,栗里人家.
楼俯六桥堤,素心共风月清谈,莫放光阴虚过客 居邻三竺路,冷眼看烟云变态,最高福分是闲人.
览胜西泠,西窝云懒洞霞栖,知此中必有高士 结庐曲院,曲武穆右文忠左,喜比邻都是奇人.
宦海忆同舟,曾经万顷波涛,到此处方知实地 圣湖留别业,占尽六桥风月,是君家本有仙缘.
傍流水短长堤,欲招太傅题诗,长公载酒 登高楼左右顾,幸与文忠同里,武穆为邻.
偷得半世余闲,惟啸月吟风,快然自足 留此数弓隙地,且莳花种树,聊寄乡心.
西邻是水竹新居,路转峰回,更添绝好楼台,三竺湖山如旧识 东望有坚匏别墅,花明柳暗,又复自成村落,四时风月属君家.
偶然蹑屐来游,赌酒围棋,许我消磨闲岁月 同是挂宦归去,骑驴放鹤,输君占领好湖山.
其人为豪侠者流,看剑挑灯,那管他四壁风雷,满天星斗 此地是神仙之府,炼丹辟谷,最难得一湾碧水,万叠青山.
买山近漫叟新居,土木经营,可许作杯湖老友 卜宅仿渊明故事,烟霞啸傲,难得是宦海闲人.
元龙豪气,百尺高楼,时节正嬉春,留客花间酣醉月 庾信小园,数椽老屋,嚣尘嫌近市,输君林下卧栖霞.
今夕是何年,恰当月白风清,令我朗吟坡老句 此中真得地,只恐花明柳暗,有人错认放翁居.
天开图画 人在蓬莱.
合名臣名士为我筑楼,不待五百年后,斯楼传矣 傍山北山南循地选胜,适在六一泉侧,其胜如何.
坐曝书亭,登小仓山,文采风流,二百余年无此盛 对退省庵,近巢居阁,勋名德业,两三间屋并生春.
园中草木春无数 湖上山林画不如.
千古一诗人,文章有交神有道 五湖三亩宅,青山为屋水为邻.
旧学郑康,成书带丛生,掩映湖堤添草色 前身陶句,曲角巾高隐,徘徊楼上听松声.
想见东坡旧居士 为我佳处留茅庵.
持甲乙丙丁四部之平,酌古济今,百代名贤归谁率 后白苏欧林数公而隐,饭蔬衣葛,万峰晴翠拥楼台.
把酒贺湖山,喜六一泉旁,又有名流分半席 研经多岁月,看三百卷后,更传杂纂到千秋.
厦庇万间,幸西子湖头,分来一席 楼高数仞,在东坡庵内,俯视群山.
楼以姓传,万里关山来后学 地因人杰,一湖风月属先生.
越水吴山随所适 布衣蔬食了余生.
招玉局为邻,依旧吟庵筑山上 比元亭载酒,长留雅坫在壶东.
天上人间,谪仙无恙 山高水长,先生之风.
一苇可杭,却好蓬瀛相对峙 数弓小拓,重教风月尽翻新.
小筑几间楼,集成难得二三子 比邻半潭水,清话长临六一泉.
一样著书庐,平分吴郡新诗,杭州旧酒 数间枕山屋,认取南屏对渡,西爽闲亭.
四围花木多于屋 万卷文章著等身.
登斯堂也高其行 游于门者难为言.
求此人之仿佛 抚孤松而盘醒.
神迹偶径行,不知何去何来,当为斯人钟瑞气 群材归振拔,即此一花一叶,也如我辈坐春风.
五世三登宰辅 奕朝累掌丝纶.
官居东壁图书府 家住西湖山水间.
夕阳晚映青山郭 罗绮晴娇绿水洲.
每闻乐事心先惬 或见奇书手自抄.
侧身天地更怀古 回首风尘甘息机.
著作集名流,好事效当年白傅 文章留慧业,赏音俟后世扬雄.
凿开石径通云径 搜出真山作假山.
连峰紫翠看皆好 乔木风烟画不如.
圣代即今多雨露 故乡无此好湖山.
两口居碧水丹山,妻太聪明夫太怪 四围皆青磷白骨,人何寥落鬼何多.
老屋将倾,只管淹留何日去 新居未卜,不妨小住此为佳.
古墨尚存宋时石 遥青如对蜀中山.
天空任鸟飞. 看山饶蕴藉；
酌水励清廉. 闲户不知忙世界；
开门恰对好湖山. 补筑数椽,闲来寄托仙翁迹；
读残万卷,兴到游行坡老堤. 气候阴晴,十二时光多幻态；
湖山风月,万千景色畅天怀. 好山水游,其人多寿；
有诗书气,生子必才. 放怀苏白堤前,柳荫护书堂,占断钱塘风月；
希迹神仙队里,家声追葛岭,依然宦辙烟霞. 福自几生修,当退食余闲,领略湖山风月；
老而犹好学,藉藏书万卷,纵观上下古今. 是名教内老头陀,与尼山有香火因缘,薄荐藻芹供洒扫；
作冷宦中呆脚色,为浙水典胶庠首领,广栽桃李待芳菲. 近圣人之居,教亦多术矣；
守先王之道,文不在兹乎. 儒以道得名,此官不贱；
学而优则仕,如日之升. 下笔千言,正桂子香时,槐花黄后；
出门一笑,看西湖月满,东浙潮来. 蓉镜重开,漫向湖山寻旧迹；
桂枝擢秀,相期月旦识真才. 使者日边来,冰壶玉尺；
人才天下选,东箭南金. 辛苦已三年,看多士腾蛟起凤；
慊欺惟一念,愿同人涤虑洗心. 大比重三年,举孝兴廉,是古今求贤准的；
澄怀盟五夜,除好剔弊,还国家取士规模. 敷天瞻日月重光,兵气喜全消,雅颂承平,还是文章能报国；
胜地览湖山有美,人才期慎选,规模整肃,须知科举为求贤. 襄事赖同人,稽庶务,慎专司,知内外寅僚,共体笙簧礼意；
抡才逢大比,兴贤能,校道艺,溯生平阅历,敢忘席帽亲尝. 不负初心,吾辈皆由科制进；
相期异日,名臣端赖读书多. 夜半文光射北斗；
朝来爽气挹西山. 神之格思不可度；
天所鉴者惟其诚. 十六帘藻鉴抡才,临上质旁,到此同心盟白水；
百五名桂宫启秀,善缘福果,暗中点额有朱衣. 到处聚观香案吏；
此邦宜著玉堂仙. 上界真人足官府；
众仙同日咏霓裳. 广厦千万间,敬凭上下神祗,香案年年供浙院；
洞天三十六,默向虚空想像,尘寰处处幻瀛洲. 铁面无私,凡涉科场,亲戚年家须谅我；
镜心善照,但凭文字,清奇浓淡不冤渠. 使节壮湖山,东南坛坫；
文光拱奎壁,咫尺宫墙. 天地自成文,湖山有美；
国家期得士,桃李无言. 正宜明道；
养士求贤. 萦洄水抱中和气；
平远山如蕴籍人. 入则孝,出则悌,守先王之道,以待后学；
颂其诗,读其书,友天下之士,尚论古人. 人只此人,不入圣便作狂,中间难站脚；
学须就学,昨既过今又待,何日始回头. 浙水重敷文,看此山左江右湖,千尺峰头延俊杰；
英才同树木,愿多士春华秋实,万松声里播歌弦. 竹里书声来隔院；
松间棋韵静虚窗. 倚槛俯江流,一线涛来文境妙；
迎门饮湖禄,万松深处讲堂开. 珥笔共登坛,怀瑾握瑜,先向儒流觇器识；
投戈重讲艺,敦诗说礼,长留丝蕝镇湖山. 大庇寒士皆欢颜,欣夏屋重开,纵观地有湖山美；
净洗甲兵长不用,听和声共谱,鸣盛文成雅颂声. 闭户自精云,无心以出岫；
登高能赋文,异水而涌泉. 湖光与天远；
山色上楼多. 味经得隽如甘露；
谭艺无欺见古风. 仁者乐山乐以静；
圣门观海观其澜. 儒修南渡承东汉；
名胜西湖在北山. 圣代重儒风,教秉新安,趋步定知岐辙少；
名臣留讲舍,政传渤海,补苴当念善成难. 广厦宏开,看毓秀钟灵,蔚起虎林人物；
高山在望,愿立名砥行,仰承鹿洞渊源. 公羊传经,司马记史；
白虎德论,雕龙文心. 南阁祭酒,说文九千字；
东国大儒,著书数万言. 同条牵属,共理相贯；
括囊大典,网罗众家. 六经皆载道之书,莫鹜词章矜博览；
两浙为人文所萃,益从根柢下工夫. 是谓不朽有,三遗烈永,当留圣水；
所以行之者,一返躬深,愧仰高山. 希贤希圣希天,尚友诗书,其揆则一；
立言立功立德,名山俎豆,不朽者三. 下学感师承,敢云衣钵能传,不避腆颜开马帐；
纯修期后起,惟愿诵弦弗缀,共图勉力赴鹏程. 向宇旧书堂,几辈飞腾,曾共观摩过此地；
谈经新讲舍,一时英隽,相期淬励绍前徽. 但是人家有遗爱；
曾将诗句结风流. 平生心迹最相亲,惟此醉太守；
词赋擅名来已久,宜升君子堂. 明月来相照；
好风与之俱. 云路及时登,盼诸君同咏霓裳,传来南海；
风帆随处好,许他月重携文酒,泛到西湖. 胜地萃贤能,愿诸君佩实衔华,毋负故乡好山水；
英才裕公辅,卜他日书绅论秀,同登天府作夔龙. 旋乾转坤,有子一肩担宋室；
作忠教孝,双亲千古重明禋. 母教凛千秋,共仰孝思光日月；
臣忠规万古,独留庙貌镇湖山. 父教成仁母教忠,想半世英雄伟烈,生既殉身,死犹护国；
亲受恩封子受袭,看一堂俎豆馨香,阳膺崇祠,阴列威神. 泣雨剩南朝,呼断爷爷,千秋冤狱莫须有；
怨风号北地,愤推将将,百战忠魂归去来. 南渡创奇勋,军声开武穆之先,同德同功同一姓；
西湖崇特祀,庙貌并显忠不朽,各行各志各千秋. 忠义炳千秋,纵白刃空挥戮桧,特褒书竹简；
威灵扬四海,喜丹楹重庇荐苹,共愿酌金波. 自蛮烟瘴海游历而还,胜地重临,凭管领六桥风月；
与白傅林逋后先相望,崇祠近接,恰平分半席湖山. 维先人两到公乡,怀古思贤,诗学愧承传砚训；
有太傅一编祠录,引泉荐菊,榜题应补读书堂. 大哉夫子之功,百世权衡,六经羽翼；
远矣斯文之统,周程私淑,孔孟闻知. 由孔孟而来,两千年卫道传经,独振斯文统绪；
当先宁之世,五十日格非陈善,允宜此地烝尝. 删定攒修,直千古同功,较汉唐训诂诸儒,仰高山而功倍；
德性问学,原两端并举,任陆王纷纭异说,撼大树以何能. 师统扶君统于微,东鲁衰,圣人生,南宋衰,圣人出；
临安视新安为近,望帝乡,沧海月,怀故乡,黄海云. 千古正学开河洛；
万世斯人接鲁邹. 大哉夫子之功,训著遗经,图传太极；
远矣斯文之统,上宗邹鲁,下启程朱. 德盛教尊广,千古圣贤传心之要；
仁昭化溥垂,万年子孙敬守之基. 七万人相庆更生,计农桑教化兵防,名世允推儒作将；
十五卷共遵遗集,并道德文章经济,此邦尤愿士希贤. 宣文德,振武功,不朽有三,共仰东西天柱；
立朝纲,标清节,当世无两,是为古今名臣. 正气遏潮头,不须越弩三千,伟烈直追钱武穆；
遗徽瞻庙貌,分占吴山一角,丛祠近接阮仪征. 论治尚廉明,依然琴鹤传家,盛德馨香堪百世；
讴思并吴越,犹忆海潮退舍,御灾捍患足千秋. 亮节圣所褒,立祠重复齐宫旧；
清风谁后继,登楼共仰吴山高. 亮节褒题,帝眷兰陵名宦；
崇祠建复,人思枌社先贤. 当代共仰经师,远绍旁搜,冠冕文章钦宰辅；
此间三持节使,畏神服教,馨香俎豆映湖山. 我公为当代名臣,缅节钺巡方校士,揅经舆论,至今称学海；
此处是重阳福地,仰春秋享祀报功,崇德君恩,特许赐湖山. 邦水萃乡贤,历推后起人文,谁能为一代经师,三朝相业；
吴山崇庙貌,恰好重阳福地,真个看西湖月满,东渐潮来. 巨典重易名,裘氏秋宫,纪氏春宫,一字荣褒,非公莫为之后；
崇祠开胜地,学臣教术,疆臣治术,万家尸祝,到今民不能忘. 南国启文明,溯学海渊源,讲台横径来弟子；
中朝隆将相,问擎天事业,高峰矗汉肖先生. 勋名著寰海东西,绝犜威棱,中朝相业；
经术冠大江南北,主盟坛坫,崇祀湖山. 胸前泉石千层起；
眼底江湖一望通. 乡先贤没生可祭于社,其在斯人.
三杰唱民权,日月更新,革命导源留种子 一龛崇祀典,湖山洗净,复仇报享慰遗臣.
述格致诚正修齐治平之传,万世咸承厥训 超德行言语政事文学而外,一人独得其宗.
衍一人忠恕之心传,学惟省贯 开万世治平之事业,道极明新.
性道在文章,深造自得 廉平称治绩,遗爱无穷.
薄稼圃而不为宜,善会先圣之意 敬鬼神而仍远当,恪遵乃祖之训.
道启东南 贤诣升堂.
允矣圣人之徒,闻善则行,闻过则喜 大哉夫子之勇,见危必拯,见义必为.
远稽晋代,近逮熙朝,骏烈清芬,岂仅诗文垂浙派 山号武林,湖名明圣,钟灵毓秀,不须声望借严陵.
窥林屿而放泊 指烟云以问乡.
山川朋友,文章三乐 烟雨风月,晴雪六宜.
依然水枕风船,重向烟波寻旧梦 何必淡妆浓抹,一空色相见天真.
载酒来游助画意,诗情歌声笛韵 引人入胜在湖光,山色鸟语花香.
小槛拓浮梅,任先生花外垂纶,柳边载酒 明湖容泛宅,愿同人春堤门鸭,秋渚盟鸥.
欲把西湖比西子 从来佳茗似佳人.
有山皆图画 无水不文章.
为公忙,为私忙,忙里偷闲,吃碗茶去 求名苦,求利苦,苦中作乐,拿壶酒来.
阑槛倚晴空,俯看绕郭,湖山勾留,座上聊中隐 画图收胜概,回忆故乡,云水浩荡,樽前得大观.
耆旧忆前型,缅澄水一隅,著论鸿篇传洛社 抚绥留实政,看湖山千里,共怀明德祀桐乡.
华木春秋,祀岳桧林梅而后 湖山金碧,写苍诗檐画之间.
小集借湖山,宦辙聚滇黔万里 大名仰天水,崇祀共苏白千秋.
址旧建维新,依然绕郭芙蓉,幂堤杨柳 居高心自远,最忆佛岩翠霭,华浦晴波.
水绿山青,座中人醉 花明柳媚,湖上春长.
屈醒陶醉随斟酌 春韭秋莼入品题.
闲开东阁索梅笑 坐对西湖把酒尊.
十载许勾留,与西湖有缘,乃尝此水 千秋同俯仰,惟青山不老,如见古人.
中和和丰丰乐桥,银杓银瓮 妙法法因因果寺,金轮金刚.
一楼风月当酣饮 十里湖山豁醉眸.
酒醉更移花下席 书多别起竹间楼.
闲思鲈脍客中客 买醉湖堧楼外楼.
佛石不磨唐笔墨 仙梅犹占宋年华.
第一楼边浮大白 初三月上荡空青.
即景亲风月 随时笃诗书.
华屋杂茅庐,看西子湖边,别开世界 停挠来把盏,在刘伶庄畔,应集酒仙.
红杏领春风,愿不速客来醉千日 绿杨足烟水,在小新堤上第三桥.
尚书家世服先畴,秋水文章,白犊牵来青稻陇 学士繁华开别墅,春风弦管,黄鹂飞上绿杨枝.
一塔远出树 众山青到门.
喜无多屋宇 幸不碍云山.
千峰林影帘前月 四壁湖光镜里天.
双桨来时,有人似桃根桃叶 画船归去,余情付湖水湖烟.
记故乡亦有仙潭,看一样湖光,添得石桥归九曲 至此地宜邀明月,问谁家秋思,吹残玉笛到三更.
枫叶荻花秋瑟瑟 闲云潭影日悠悠.
一丛竹,十亩莲,草木亦成清品 两高峰,三潭水,湖山具有道心.
夕阳晚映青山郭 罗绮晴娇绿水洲.
白云自占南北岭 明月谁分里外湖.
莲叶东西临水槛 柳条南北看山楼.
溪水渡西拎,曲槛平分葛岭月 寺云隔南浦,疏钟摇破夕阳烟.
繁冗驱人,旧业尽抛尘市里 湖山招我,全家移入画图中.
甘棠绕屋,荐鞠浮尊,比当年广厦万间,下榻正宜徐孺子 玉笛无声,青山依旧,精此处明湖一曲,停车都唱蒋安阳.
灵之来兮,从白舍人游,配苏学士食 客何为者？横扬济公笛,披董静传书.
旗展春风,天上二星常耀彩 杯邀明月,人间万斛尽消愁.
南宋三忠,古社枌榆隆报赛 西湖半壁,大招风雨降神灵.
镜面湖光,苏堤一线横窗碧 云端梵唱,竺岭千盘压阁青.
新水涨三篙,绕槛波光平似镜 好山环四面,开窗岚翠拱如屏.
八百里湖山,知是何年图画 十万家烟火,尽归此处楼台.
潮声自演大乘法 塔影常圆无除身.
灯传慧业三摩地 鼓应洪涛八月天.
峰盘三百级 身入万重云.
人从井底盘旋上 天向关门豁达开.
一角夕阳藏古洞 四周翠岚接遥村.
旧径新途应得半 高山平岭可中亭.
三月湖光杭郡景 六朝山色秣陵秋.
得来山色奇观,与君选胜 对此烟霞佳景,使我思亲.
一见问灵源,师出离山吾听水 卅年依古洞,世方沉陆独看潮.
倘他日蜡屐重来,须记取山中松径 携一片红云归去,莫错认世外桃源.
钱如真可通神,此座巍然,何不与烟霞终古 石也有时变相,长公仙矣,莫非是香火前缘.
谁谓我屋,谁谓我家？本来栖息人间,难得此近山远水 何必学仙,何必学佛？也算优游洞府,便不是俗骨凡胎.
四大空中留云住 一峰缺处看潮来.
湖山在目,玉局曾来,又七百年于兹矣 冰雪为心,科徭不扰,斯二千石之职欤.
太傅佛,内翰仙,功德在民,宦迹相承私向往 道州诗,监门画,疮痍满地,虚堂危坐独彷徨.
峰盘三百级 身入万重云.
日往烟梦,幽鸟相逐 月明华屋,碧松之阴.
似入万重山,不离三亩地 欲穷千里目,更上一层楼.
游宦到钱塘,饮水思源,喜两浙东西,与歙浦江流相接 钟灵自灊岳,登高望远,问双蜂南北,比皖公山色如何.
家藏八千卷 门对七二峰.
地连石屋双峰起 天放钱江一角来.
东坡千载人,游于物表 钱塘万顷白,来自云端.
四大空中,独留云住 一江缺处,远看潮来.
一见问灵源,师自离山吾听水 卅年依古洞,世方沉陆我观潮.
今日重来问鸥鹭 故乡无此好湖山.
图画香山,风流玉局 荷花世界,杨柳楼台.
高冢卧麒麟,回首感六陵风雨 神弦弹霹雳,归魂思一曲沧浪.
三十里湖镜峰屏,擎笛可无人坐月 廿八字雨珠云墨,凭栏依旧水如天.
芬诵旃檀,深入华严文字海 函尊榆欓,兼赅菩萨圣贤心.
且喜故乡无归里 敢期此后有千秋.
不妨姑说梦中梦 自笑已成身外身.
自筑行窝傍生圹 兼留书冢在名山.
此地是杜子桥边,运司河下 有时见风来水面,月上柳梢.
割据湖山少许,操鸟兽草木之权,是以为政 游戏世界无量,极泉石烟云之胜,聊乐我魂.
祖尧父舜真千载 禹子汤孙共一家.
天意分明昌大德 诞辰三世总丁年.
兵气全消,胜迹尚留桥饮马 神灵普照,灵光仍显社飞鹅.
岚翠现清净身,冈重岭复 溪流播广长舌,水洁沙明.
戎马靖东南,今肃长江,儒将仍风清两袖 湖山留俎豆,神归退庵,游仙如月印千潭.
帘前有喜鹊可报 湖上无波鸥自闲.
圣代即今多雨露 故乡无比好湖山.
志高局四海 英名擅八区.
地近岳王坟,死后不孤,蒋庙刘祠皆旧部 奠酌圣湖水,生前有语,六桥三竺许重来.
锦绣春开花富贵 琅玕日报竹平安.
花枝入户犹含润 泉水浸阶乍有声.
水清鱼读月 山静鸟谈天.
清风一握自为笑 新月半规殊有情.
奎藻仰留题,一席湖山分作主 甘棠溯遗爱,百年俎豆自常新.
水凭冷暖溪涧,休寻何处来源,咏曲驻斜晖,湖边风景随人可 月自缺圆亭畔,莫问当年初照,举杯邀今昔,天上嫦娥认我否.
庙食褚塘,大节一生垂史册 魂归阳翟,易名千古表文忠.
沁雪贮寒泉,一片清虚,照彻大千世界 开山成宝相,十分圆满,想见丈六金身.
香火因缘,弥勒同龛如是往 溪山幽胜,吟魂此地盍归来.
圣恩赐西湖一曲 人望若北斗七星.
尽此一片心,与点缀湖光山色 收拾数间屋,尽勾留墨客骚人.
弱草长承垂露叶 寒花尽发向阳枝.
须知天地长生育 总要人家善护持.
声驱千骑疾 气卷万山来.
千秋生气镇湖山. 赍恨葬英雄,漫道青山有幸；
铸谗成镣铐,谁云白铁无辜. 还我河山,一片忠心唯报国；
驱尔异族,百年奇耻不共天. 咳！仆本丧心,有贤妻何至若是；
啐！妇虽长舌,非老贼不到今朝. 臣忠子孝,万古英声,赫赫并乾坤不朽；
妻节女贞,一门芳誉,明明同日月争光. 南人归南,北人归北,小朝廷岂求活耶；
孝子死孝,忠臣死忠,大丈夫当如是矣. 拓地饮黄龙,厥志当酬,尚见泥兵湿蒋庙；
呼天悲铁像,此冤未雪,常闻石马哭昭陵. 专祠难,上祀尤难,乃武乃文,巍巍乎！孔子同尊,关帝并圣；
报国易,配天不易,大忠大孝,烈烈哉！光争日月,气壮湖山. 千秋冤案莫须有；
百战忠魂归去来. 灵爽在天,必誓渡浙水众生,永无冤狱；
精忠报国,共传闻朱仙一战,几复中原. 奈何铁马金戈,仅争得偏安局面；
至今山光水色,犹照见一片丹心. 青山绿水拱重檐,西湖名胜,有忠殿屹立；
碧血丹心保疆域,正气硕节,留后人仰瞻. 涪王兄弟,蕲王夫妇,鄂王父子,聚河岳精灵,仅留半壁；
两字君恩,四字母训,五字兵法,洒英雄涕泪,莫复中原. 观瞻气象耀民魂,喜今朝祠宇重开,老柏千寻抬望眼；
收拾山河酬壮志,看此日神州奋起,新程万里驾长车. 百战妙一心运用；
两言决千古太平. 手挽山河心未死；
身骑箕尾气犹生. 禋祀崇湖山,文武圣神光日月；
典型昭河洛,忠孝节义冠古今. 湖上仰新宫,灵旗如见精忠字；
河堧觅遗阵,顽铁安知妙用心. 万里坏长城,叹息北征将士；
中原搘半壁,伤心南渡君臣. 西湖之滨,于少保,岳少保,巍然两墓；
民国所祀,前武圣,后武圣,各有千秋. 将军报国,宰相和戎,义愤动千秋,臣节无惭追壮缪；
庙拓明湖,陵依霞岭,馨香绵万禩,孤忠共喻有蕲王. 父子北征,忠孝岳家军第一；
君臣南渡,湖山宋室庙无双. 大小眼争拜英雄,慷慨成人,特立万古常纲之极；
干净土难忘天水,湖竺无恙,留与后人讴咏而归. 运会复何言？局蹐临安,痛两宫终身北狩；
精魂应不死,从容袭带,看千秋庙貌西湖. 痛史说偏安,慨当年谋定东窗,桧真遗臭；
崇祠留胜迹,看此树枝常南向,柏亦精忠. 天下太平,文官不爱钱,武官不惜死；
乾坤正气,在下为河岳,在上为日星. 皦日矢忠心,千古仰军人钜镬；
栖霞新庙貌,万方拜中国英雄. 日月照孤忠,三字沉冤,大地裂裳盟白马；
江山忧半壁,重新祠宇,中原遗恨饮黄泉. 民族主义,历元清鼎革始达完全,如神有知,稍解生前遗恨；
圣湖风景,得祠墓点缀差不寂寞,兹地之胜,允宜庙貌重新. 一门忠孝,惇史所传,果当年痛饮黄龙,早驱金虏；
百代馨香,社稷可守,赖此地长埋碧血,不负明湖. 精诚与松柏同坚,万古昭昭,公自大名垂宇宙；
庙貌共湖山并寿,寸衷耿耿,我为时势吊英雄. 声名同宇宙长垂,威震华夏；
武略与神功并著,义薄云天. 奉诏班师,怅南宋偏安,结此一局；
尽忠报国,壮西湖遗迹,范我千秋. 奇祸陷风波,南宋山湖才半壁；
精忠贯日月,西湖俎豆足千秋. 报国仗精忠,当年唾手燕云,失心天地；
新祠共瞻仰,保我青山常在,碧水无尘. 一军难撼声威远；
三字含冤忠孝全. 誓复中原,浩气弥纶吞北虏；
重新神宇,忠灵赫濯奠西湖. 古今谥忠武者几人？维王之灵,河朔军声传不朽；
祠墓壮湖山兮万禩,在礼宜祭,丹青庙貌仰重新. 王气已消,重睹湖山新庙宇；
人心未泯,犹因忠孝拜英豪. 王气炳人寰,风雨灵旗一抔土；
苦忠溯往迹,湖山俎豆万斯年. 专制杀英雄,千载何人雪国耻；
横流遍宇宙,九州大地哭忠魂. 朱镇壮声威,想当年痛饮黄龙,誓恢复河山半壁；
丹心贯日月,到而今名留青史,应享祀俎豆千秋. 想像背嵬军,敌忾同仇,肯遂令外旗横行,中原板荡；
苍凉南渡局,伤心异代,且莫话西湖歌舞,大将风流. 忠孝节义萃于一门,间披南宋伤心史；
祠礿尝烝昭乎四祀,可纪西湖堕泪碑. 南宋至今逾七百年,重见义旗兴鄂渚；
西湖依旧环三十里,新推通祀遍中华. 乾坤正气,忠孝完人,树千古英雄模范；
庙貌重新,湖山生色,赖众擎缔造艰辛. 处为仁孝,出著精忠,慨当时血洒南朝,万代千秋凛大节；
庙貌重新,湖山生色,仰群公踵成盛举,一篑九仞竟全功. 岳军振难撼威名,扫敌在指顾间,奉诏班师成遗恨；
秦贼施摧残毒计,加罪以莫须有,尽忠报国复何人. 天章褒功臣,想当年竭力致身,忠孝兼全,万古精诚光日月；
祖训衍家传,愿奕叶承先启后,烝尝勿替,千秋俎豆炳湖山. 是大英雄慷慨成仁,终古纲常立尺极；
此地湖水芳馨可荐,百年松桧见精忠. 有汉一人,有宋一人,百世清风关岳并；
奇才绝代,奇冤绝代,千秋毅魄日星悬. 背嵬领雄军,我如河朔少年,束发幸曾师战略；
