崇正学； 育真才。
四生十类沐慈恩； 佛法如春宏普渡。
崖畔松前论醒口； 路远七阁归海口。
慈航到处有婆心； 妙相庄严同瞻仰。
法身应现广无边； 明珠照彻天堂路。
金锡震开地狱门； 人来合意高谈道。
客去悠闲暗诵经； 细剪山云缝破衲。
烟霞覆罩动乡情； 翠壁泉声穿乱石。
碧潭云影透晴沙； 泉石常临霄汉月。
寺掩清门寒叟贫； 海国波涛千顷绿。
后山香火万年红； 九里春风香宛宛。
六桥夜雨意绵绵； 松围古寺鸟争语。
月上寒窗僧自归； 抖落江南千树雪。
托出佛国一片春； 画帘萧声偕燕语。
春山花影追莺歌； 悬水古寺喧溪鸟。
野花峭壁倚云松； 夜静林涛传天语。
月明山春动画心； 空中阴雾呈云海。
座拥莲花拂尘埃； 鸟寂林中三更月。
龙下天池醒水云； 通法界,无边际。
慧真如,究竟空； 通篇妙理虚空小。
但将六字出乾坤； 念而无念归真念。
心不住心即净心； 守口修身常摄意。
精勤念佛报诸恩； 两酌苍篁秋放鹤。
江山势饶塔中龛； 金佛岭头飞宝锡。
石床随处结灵山； 朝开四野香风远。
参透非空却是空； 心台圆明涵慧镜。
法雨均沾万亿洲； 无人无我观自在。
性天性海性真如； 香焚小楼绕经语。
上壑朱霞次第封； 蓬莱何须觅海上。
岁月最宜度山中； 蹊路上宜防失足。
迷途中及早回头； 龙归法座听禅偈。
松竹高僧淡笼烟； 雪下几枝春有意。
华带东去源流长； 来到半山坐一坐。
摩云便欲洒齐州； 二十四涧水长流。
日吐金芝朝五老； 烟横玉带绕三公。
捧圣神回山寂寂； 插梅人去水悠悠。
千层楼阁空中起； 万迭云山足下环。
烟峦八百逢嵩岳； 云洞三千接泰华。
四大名山皆拱极； 五方仙岳共朝宗。
千嶂雾深银作海； 九霄云净玉为关。
伟人东来气尽紫； 樵歌西去云腾霄。
未上灵山成胜就； 先从净地炼心愿。
榔梅初结三春实； 芝草还开五色花。
门裂双岩容马度； 天开一径许人通。
虚室光浮青鸟去； 洞箫声彻彩鸾飞。
赤城带日起祥烟； 云作玉峰时北起。
五洞天前作主人； 苔铺翠点仙桥滑。
九旬岁近忆心传； 古洞常临光照耀。
为所当为不问他； 半岭天风闻剑啸。
隔岭一峰天外来； 试从平旦时观我。
楼台闲锁九霄云； 三台影影冲烟出。
九室层层入雾深； 苔深不雨山常润。
林静无风暑自消； 危梯凿险层层出。
积翠凌虚面面来； 千岩迤逦藏幽胜。
豆古烟霞在眼中； 峰围仙磬声难散。
收尽川原一望中； 圆顶金光充帝阙。
半榻禅心印月明； 曲径幽居神道迹。
高山便是白云乡； 君能玩月登虚府。
搜画如见故人来； 累尽神仙端可致。
心灵造化欲无功； 草亭闲坐看花笑。
自古名山待圣人； 隔岸红尘三十里。
虎仆龙宾左右偕； 樽中美酒常须满。
世上虚名好是闲； 聊借琴书为伴侣。
一楼风月笑谈中； 银杏千年证道性。
青城一洞试幽深； 野寺多情留客住。
向来涉世亦遗人； 方丈蓬莱应不远。
绛阙云台总有名； 树红树碧高低影。
青城道当千世守； 灵岩月与五洲同。
眼底山灵齐护法； 座中花雨尽通神。
二千余载遗仙迹； 三十六峰皆白云。
青苍滴秀万千树； 突兀争奇卅六峰。
只疑东海三神岛； 未若西川五洞天。
世上烟云任变幻； 山中甲子自春秋。
神仙都会周秦汉； 道德根源天地人。
无为有为包万象； 不二不测覆群伦。
明月三更映绿水； 青天一色驾紫云。
道通天地有形外； 山在虚无缥缈间。
常无欲以观其妙； 天生民而作之师。
溪上玉楼楼上月； 城外天林林外山。
洞天第五群仙窟； 太极含三众妙门。
圣人如碧梧翠竹； 斯文是仙露明珠。
子午生机三阳震； 庚甲神化一气和。
九十春光惊梦过； 八千里路看山来。
小院回廊春寂寂； 碧桃红杏水潺潺。
三尺蕉阴团石榻； 一支松尘拂烟香。
灵槎果有仙家事； 紫箫来问玉华君。
一帘花影交鸾尾； 满地香芝幻鹿胎。
满地风寒山欲雪； 千林日上谷飞云。
万迭云山图画里； 一楼花月笑谈中。
山居深处无尘俗； 境遇幽时到客踪。
里为寇盖星辰近； 案有琴书雨露清。
扫来竹叶烹茶叶； 劈碎松根煮菜根。
要想着收咱失地； 别忘了还我河山。
乱石穿空一万枝； 静里常观天边月。
室中可采海底珠； 迎来海上三千履。
日浴扶桑一点红； 盘空瀑雪飞涛落。
拂面吹花细雨来； 五百重登华首台。
丹灶药池留胜迹； 鸟声花影得仙机。
库绕碧酿泉成酒； 房贮黄梁米是珠。
万壑烟云留槛外； 半天风竹指窗来。
出月入日是吾道； 寸田尺宅可治生。
九转丹成呈旭日； 天生胜境乐游人。
百战烟火无双地； 五岭归来第一山。
尘梦未醒人自若； 江山无恙我重来。
湖干远树绿成雾； 山外夕阳红到楼。
住童子地而护法； 现宰官身以降魔。
永护僧迦登十地； 长持宝杵应三洲。
人忆丰干坐小桥； 高塔倚云标佛国。
龙潭清鉴古今谈； 高参霄汉三台近。
胜压东南五岳低； 仙人井上留霞气。
几椽茅屋得安居； 登峰始识天台寺。
古刹重光颂太平； 黄狷夜啸千村月。
幽径新添竹外风； 不与众山同一色。
天香春绣木兰衣； 身似菩提心似镜。
云在青天水在瓶； 四山滴翠环初地。
一路听泉到上方； 首座现身来说法。
仰看一柱独擎天； 洞口有尘风自扫。
裨门无锁月常来； 山中习静观朝槿。
竹下无言对紫茶； 文人远依双涧下。
喜无樵子复观弈； 怕有渔郎来问津。
远水连天弘碧绿； 近山拔地玉嶙峋。
九曲初通三岛爱； 万山遥拜一峰尊。
水帘千丈垂丹崖； 晴雪长年舞翠檐。
赤壁千寻晴拂雨； 明珠万颗昼垂帘。
大江东去我西来； 峰巅片石留三国。
千里潮声入枕边； 江声澎湃欲吞海。
山势蜿蜒直跨城； 江淘日夜东流水。
谁知才上一层楼； 登楼便欲凌云去。
东风吹雨到青山； 塔影又邀江月上。
屏水镜山皆真縡； 萝月松风合静观。
春秋风月因心会； 上下水天与目谋。
春水绿连瓜步树； 夕阳红映蒜山楼。
波含静渚心同彻； 云住高峰态自灵。
到此俯视原无地； 攀涉遥吟恰有楼。
沧海云开腾日月； 晴江潮落舞蛟龙。
四面波光动襟袖； 三山烟霭护壶洲。
云容水态不相厌； 画意诗情分与投。
山云漾起袈裟阔； 江月初升殿宇清。
万叠江山供绝唱； 三秋水月可参禅。
一泓水镜呈当面； 满魄冰轮映举头。
眼底江山皆净域； 毫端兰竹见灵源。
新渚忽生波岛外； 旧题多在薜萝中。
此地从来有修竹； 为师真可主梅花。
萍自在因根解脱； 莲清净为藉空虚。
山光扑面经新雨； 江水回头为晚潮。
江月不随流水去； 天风时送海涛来。
入室果同水晶域； 开门正对石公山。
山中鹤寿中知纪； 世上诗声早似雷。
回看佛国青螺髻； 误入仙人碧玉壶。
汲来江水烹新茗； 买尽青山当画屏。
花开花落僧贫富； 云去云来客往还。
天辟海门容大隐； 人从石室学长生。
画帘高卷迎新月； 湘帙闲翻对古人。
胜地千秋崇大隐； 名山万古仰高贤。
扬子江头渡杨子； 焦山洞里住椒山。
幽帘高卷迎新月； 湘帐闲翻对古人。
商泊夜飞江月白； 天门日射海涛红。
杨子怀人渡扬子； 椒山无意合焦山。
临流口吸西江水； 隔岸拳擎北固山。
苍茫海水连江水； 罗列他山助我山。
长松拔地五千年； 寺门高开洞庭野。
殿脚插入赤沙湖； 登临曲径思余地。
稍驻征鞍且看花； 从古三湘擅胜景。
日夜江声下洞庭； 对云绝顶犹为麓。
求道安心即是宫； 云树吞余晴刹顶。
石泉流出晚钟声； 气吸岳云留石壁。
光淘湖月出松林； 絮擘晴云铺白袷。
纸裁秋叶当黄庭； 坐定昙花香古榻。
敲残尘梦随疏钟； 云壑灵钟龙伏磵。
四海学人向往中； 合安利勉而为学。
两贤相磋道终同； 岳麓学府传千载。
泉似文澜汨汨来； 学忆朱张绵圣脉。
微斯人吾谁与归； 达向九霄云路近。
一千峰里烟霞胜； 十六景中图画存。
瓶松不厌窗前玩； 灯火独留阁上名。
花雨同禅机悉活； 松风与鹤梦俱清。
为涤尘襟寻宝刹； 愿新庙貌焕灵光。
潮月空山蓂荚落； 露风灵响海天高。
竹海有桥凭画栏； 乐山乐水见仁智。
一任风涛撼四面； 绝无依傍峙中流。
青山不墨千秋画； 流水无弦万古诗。
气障百川偏号小； 名侪五岳孰云孤。
碧汉空中悬古寺； 白云堆里响残钟。
江光铺白开妆镜； 峰影浮青上晓鬟。
潮回海眼涛声壮； 砥柱江心浩气孤。
天淡云闲今古同； 长笛不吹江月落。
曲栏小阁赏新晴； 春来小苑鸟声碎。
称吟风弄月情怀； 月来帘卷诗常好。
坐参禅意养天机； 天开佛国清修地。
我亦人间苦行僧； 杨柳不随春风老。
劲松唯有岁寒知； 山中有宅开三径。
天下何人守四知； 下界尘飞不染红。
旭日朝霞红雨乱； 天风海水白云闲。
山猿借钵藏新果； 野鹿衔筐送早茶。
云开世外三千界； 岩依天南第一峰。
秋老闲门心自适； 时过佳士趣方清。
久知世界一泡影； 愿向先生借枕头。
米家书画寄沧江； 闭门觅句怀无已。
索笑巡檐大有人； 江湖忠悃三遗事。
山翠万重当槛出； 水光千里抱城来。
天上何曾有山水； 人间岂不是神仙。
层台云敛双湖碧； 古殿风生六月寒。
百道湖光千树雨； 万山明月一声钟。
秀山青雨青山秀； 香柏古风古柏香。
一亭人谓如拳耳； 是海吾将欲袖之。
云连树色微分岸； 船载波光直到门。
一粒米中藏世界； 半边锅内煮山河。
松知护法作虬龙； 峰影遥看云盖结。
松涛静听海潮生； 放下时何物是我。
必先跳出九重岩； 鸡为有声行不动。
花因无影笑难窥； 白云老父无遗产。
金色头陀有笑颜； 索笑岂无拈笑手。
苍山雪岭我独餐； 寿颂南山瑶池瑞。
耳边鼓吹山如笑； 眼前风云戏又开。
你出来要人爱看； 他夸着说我会听。
法轮自转菩提海； 净域长流功德泉。
半榻炉烟邀素月； 一帘风雨读南华。
流水不将山色去； 好风时卷市声来。
四面云山半城郭； 一沟泉水小亭园。
东海白鹤千秋寿； 南岭春松万载春。
柏节松心宜晚翠； 童颜鹤发胜当年。
白发朱颜登上寿； 丰衣足食享高龄。
千岁蟠桃开寿域； 九重春色映霞觞。
花开红杏酣春色； 酒进南山做寿杯。
东壁离文才吐凤； 南山献颂昔流琼。
福禄寿三星拱照； 天地人六合同春。
举杯同歌无量寿； 开杯共醉小阳春。
福如东海长流水； 寿比南山不老松。
大鹏鸟飞九万里； 蟠桃子熟三千年。
百天初入茫茫路； 三代同倾眷眷情。
时抚乳燕欣莹日； 又看荀瓜卧绿茵。
啼歌几唱金莺晓； 倩照一张绣被春。
啼声无语时牵众； 娇面如花总快心。
新家百日添英物； 福院三更哄俊娃。
转瞬新婴迎百日； 展眉老幼庆天伦。
周岁新添阖院乐； 娇声又引睦邻来。
迎喜一帧周岁照； 同欢三代全家福。
新开周岁蹒跚步； 初启此生浩荡云。
万里鹏程先初步； 一生大业待开局。
鹊唱晨祝周岁喜； 家欢风送众亲临。
即日初庚已有数； 自此记岁不从零。
绮岁授书夸慧质； 芳年就傅庆生辰。
戴洋不作天边吏； 逸少偷窥枕内书。
百岁犹馀春九十； 笄年尚待月初三。
十年童真多精彩； 来日人生更灿烂。
射策才应如贾傅； 请缨志不让终军。
锦瑟挥弦添五数； 璇闺设帏正兼旬。
词赋登坛方半甲； 功名强壮蚤旬年。
三十而立正青春； 百年事业勇担负。
三十初进延龄酒； 百年喜开益寿花。
辉腾宝婺三十寿； 青发奇葩而立年。
蟠桃捧日三千岁； 古柏参天四十围。
七篇道德称尧舜； 四十存心全天真。
不惑但从今日始； 知天犹得十年来。
纪事桑弧当胜日； 韬光市井正强年。
宝婺星辉歌四秩； 蟠桃瑶献祝千秋。
际此欣逢设帏日； 而今初倍及笄年。
东序兰草三春劲； 北堂萱华满院香。
五十华诞开北海； 三千朱履庆南山。
庭帏长驻三春景； 海屋平分百岁筹。
半百光阴人未老； 一世风霜志更坚。
读书砥行堪知命； 安富尊茶且慕亲。
大衍宏开光禹范； 知非伊始学蘧年。
年齐大衍经纶富； 学到知非德器纯。
海屋筹添春半百； 琼池桃熟岁三千。
天边客送千秋节； 庭下人翻五色裳。
五秩康强志如钢； 四时健旺气若虹。
元龙早日推湖海； 安石中年有竹丝。
延龄人种神仙草； 纪算新开甲子花。
颂祝遐龄椿作纪； 筵开寿宴海为樽。
甲子重新新甲子； 春秋几度度春秋。
纪寿欣逢新甲子； 培香喜掇早丹花。
颂晋林壬欣介寿； 算周花甲乐延年。
耳顺正时犹点额； 乡闾杖处尽称觞。
杯倾北海辰被度； 颂献南山甲再周。
八月秋高仰仙桂； 六旬人健比乔松。
六秩华筵新岁月； 三千慈训大文章。
画堂叠晋屠苏酒； 彩袖争贻度朔桃。
三千岁月春常在； 六一丰神古所稀。
三千朱履随南极； 七十霞觞进北堂。
入国正宜鸠作杖； 历年方见鹤添筹。
当看山河今宛在； 谁言七十古来稀。
青霜不老千年鹤； 锦鲤高腾太液波。
童颜鹤发寿星体； 松姿柏态古稀年。
休辞客路三千远； 须念人生七十稀。
国中从此推鸠杖； 池上天今有凤毛。
寿衍七旬辉宝婺； 堂开四代乐黛风。
年过七旬称健妇； 筹添三十享期颐。
鸾笙合奏和声乐； 鹤算同添大耋年。
耆年可入香山寿； 硕德堪宏渭水漠。
告存不待邀天禄； 梦卜能遗显国琛。
杖朝步履春秋永； 钩渭丝纶日月长。
春酒流香酣寿酒； 耄龄添美祝遐龄。
阳春正献瑶池瑞； 耋老频添海屋筹。
渭水一竿闲试钓； 武陵千树笑行舟。
文移百斗成天象； 月捧南山做寿杯。
卓尔经纶传渭水； 飘然风致赴香山。
八旬且献瑶池瑞； 四代同瞻宝婺辉。
人近百年犹赤子； 天留二老看玄孙。
桃花已发三层浪； 人瑞先徵五色云。
愿效嵩呼歌大寿； 还随莱舞祝期颐。
瑶池草熟三千岁； 海屋筹添九十春。
南极桑弧悬九一； 东方桃实献三千。
三千美景添筹算； 九十风光乐有余。
九老曾留千载寿； 十年再进百龄觞。
堂北萱花荣九秩； 天南宝婺耀千秋。
九旬鹤花同金母； 老秩斑衣学老莱。
庆花甲一周添半； 祝萱堂百岁有奇。
蓬莱盘进长生果； 玳瑁筵开百岁觞。
称觞共进千秋节； 祝嘏高悬百寿图。
莫道人生无百岁； 须知草木有重春。
家中早酿千年酒； 盛世长歌百岁人。
瑶池喜晋千年酒； 海屋欣添百岁筹。
琼材歌舞群仙会； 海屋衣冠百寿图。
人作不满公今满； 世上难逢我竟逢。
福海朗照千秋月； 寿域光涵万里天。
天边已满一轮月； 世上同钟百岁人。
乐奏云瑕歌百岁； 德辉彤史祝千秋。
七旬天主古六帝； 五代孙曾予一人。
但得夕阳无限好； 何须惆怅近黄昏。
南极星辉中女渡； 北堂萱映凤凰枝。
堂上椿萱夸双茂； 壶中日月庆双辉。
千岁桃开连理木； 万年枝放太平花。
凤凰枝上花如锦； 松菊堂中人并年。
鹤鹿同春人长寿； 日月放彩岁大丰。
养成毛羽凌霄汉； 并茂椿萱万古稀。
紫气辉煌双鹤寿； 春风浩荡百花香。
福如王母三千岁； 寿比彭祖八百春。
寿星伴子子长寿； 童婴映老老还童。
椿萱并茂阶前郁； 兰桂齐芳堂上春。
名山梅鹤饶清福； 春酒羔羊祝大年。
银花火树开佳节； 玉树琼酥做寿杯。
喜逢华诞歌春酒； 好向新年戏寿衣。
人如天上珠星聚； 春到筵前柏酒香。
三祝华对瞻泰斗； 二分春色到花朝。
绮席延宾开杏苑； 化堂祝嘏仰椿庭。
花逢修禊林如画； 酒泛瑶池客尽仙。
椿树庭前开寿域； 桃花源里住仙家。
茶蘼开到清和月； 芍药应称富贵花。
正喜榴花多结子； 共斟蒲酒祝添庚。
正交端午做生日； 惟有昌阳可引年。
北海樽开化寿酒； 南薰曲秦理瑶琴。
莲沼鸳鸯歌福禄； 椿庭鹤鹿祝年龄。
且喜莲房生贵子； 还欣椿庭丽佳辰。
巧逢七月初七日； 寿祝千春又千秋。
巧逢天上星辰聚； 乞得人间福寿多。
露邑青松多寿色； 月明丹桂托灵根。
千秋金鉴昭明德； 八月银涛壮寿文。
上古大椿原不老； 小山丝桂最宜秋。
东海筹添同庆祝； 南山颂献赋登临。
数备箕畴多获福； 同倾菊洒乐延年。
百算筹添沧海日； 三呼嵩祝小春天。
几行红树来佳气； 一抹青山是寿眉。
莱舞堂前娱晚岁； 梅开岭上得先春。
名望与斗山并重； 年龄随宫线同添。
红梅绿竹称佳友； 翠柏苍松耐岁寒。
梅帐寒消花益寿； 萱帏春护早生香。
今日正逢萱草寿； 前身合是香花仙。
蔷薇香送清和月； 芍药祥天富贵花。
艾叶香浓笼彩帏； 榴花色艳映斑衣。
华堂设帏绵瓜瓞； 水榭开筵赏藕花。
穿针乞巧添长缕； 舞彩承欢有老莱。
丹桂飘香开月阙； 金萱称庆咏霓裳。
翠邑慈篁辉锦帏； 香分篱菊点斑衣。
萱帏日永添长楼； 葭官灰飞舞彩衣。
喜看梅黄逢腊月； 寿添萱绿护春云。
佛性随慈灯并久； 禅心偕慧日同悬。
眼前色相皆成幻； 静里乾坤不计春。
丹室晓传青乌字； 瑶池时进白云编。
年届古稀赓六也； 德膺上寿祝九如。
至德感天仁者寿； 终身守诫道弥高。
欣逢诞日蒙神赐； 庆德重生感主恩。
信靠耶稣能益寿； 祈求上帝赐永生。
笃守伸言仁者寿； 顺从主旨福无疆。
度来岁月叨神眷； 经历象秋颂主恩。
祝君长寿邀神眷； 贺尔遐龄荻主恩。
敬爱上帝膺高寿； 笃信耶稣得永生。
福如亚伯拉罕大； 寿比玛土撒拉长。
极星辉映福星明； 五夜歌声彻凤城。
鹿辇漫随春雨下； 鹤琴常伴午风清。
筵依西圃行麟脯； 座对南山酌兕觥。
碑口而今思召杜； 九天钧乐庆蓬瀛。
名门淑德重簪裾； 彩悦高悬献寿初。
玉树新批仙掌露； 璇闺旧著女箴书。
鱼轩归阁鸣环佩； 鹤俸资廉问起居。
盛事千秋传母德； 金萱春色满庭除。
云开金屋喜添寿； 白鹤瑶笙下十洲。
幕府谈兵依大树； 辕门校猎试轻裘。
书勋久已标铜柱； 锡老今将进玉鸦。
勇力自来推李郭； 功成不伐赤松游。
麒麟阁下敞华筵； 鹤鬓鸠筇望若仙。
芝草遥连萱草秀； 寿星高并婺星悬。
珠帘影拂将军树； 银烛光分幕府莲。
设悦正逢飞掩奏； 凯歌还著彩衣旋。
盛年壮气羡华颜； 鸿鹅高飞未易攀。
自有文章惊海内； 且将尊酒醉花间。
怀人独向剡溪去； 负复争看林屋还。
万里扶摇从此始； 莫愁著作者青山。
诗礼家风播梓桑； 欣看宝婺吐辉光。
绮筵桃实霞同艳； 绿鬓萱花晚更香。
池上凤凰应有种； 庭前鸾族已成行。
不需远觅蓬莱使； 百岁重开画锦堂。
碧梧翠竹绕楼台； 白鹤瑶笙爽气开。
九老图中堪结伴； 三山海外已飞来。
班衣舞罢扶藜杖； 花舆游还醉玉杯。
高隐而今多在市； 笑看南涧采芝回。
春风摇曳万年枝； 正是萱帏设帨时。
仙乐初调青鸟下； 琼浆高献彩衣随。
市廛隐迹瞻坤德； 兰桂齐芳秦母仪。
笑看堂前同上寿； 悬知坐客定题诗。
一对鸳鸯成好梦； 五更鸾凤换新声。
一对红心向四化； 两双巧手绘宏图。
二姓联盟成大礼； 百年偕老乐长春。
碧岸雨收莺语柳； 蓝田日暖玉生烟。
九畹兰香花并蒂； 千树梧碧风双栖。
小梅香皇黄莺转； 玉树阴中紫凤来。
山青水碧风光美； 酒绿灯红喜气多。
花月新妆宜学柳； 芸窗好友早栽兰。
花烛辉联元夜月； 风箫吹彻玉堂春。
春花绣出鸳鸯谱； 夜月香斟琥珀杯。
桃符新换迎春帖； 椒酒还斟合卺杯。
烟开兰叶香风起； 春到桃花暖气匀。
晓起妆台鸾时舞； 春回画栋燕双栖。
花深处鸳鸯并列； 枝稀间凤凰共栖。
晓起妆台鸾对舞； 春归画栋燕双栖。
柳色映眉妆镜晓； 桃花照面洞房春。
美满夫妻春自永； 勤劳门第福第临。
一门天赐平安福； 四海人同富贵春。
一庭春色含生意； 几树梅花应早春。
天开美景风云静； 春到人间气象新。
旭日芝兰光甲第； 春风棠棣振家声。
芳草春回依旧绿； 梅花时到自然香。
春趁梅花香里到； 福随爆竹暖中生。
家居白日青天下； 人在春风和气中。
桃李满园春似锦； 芝兰绕砌座凝香。
万道祥光腾吉宇； 九重春色映华堂。
爆竹一声除旧岁； 梅花数点接新春。
平安即是家门福； 孝友可为子弟箴。
传家有道惟忠厚； 处世无奇但率真。
日暖阳春辉宝历； 风和淑气蔼衡门。
锦绣春明花富贵； 琅玕画静竹平安。
园林桃李争春暖； 岭径松梅耐岁寒。
门迎晓日财源广； 户纳春风吉庆多。
天地间诗书最贵； 家庭内孝悌为先。
语为吉祥多厚福； 心缘敬慎达康衢。
威凤祥麟瞻气象； 浑金璞玉具精神。
智府朗悬仁寿镜； 福田普写吉祥云。
平安客里家家节； 孝友人间处处春。
秀色青山争入户； 祥光瑞日正临门。
梅竹平安春意满； 椿萱并茂寿源长。
万户春风陶礼乐； 百年事业绍箕裘。
天将化日舒清景； 室有春风聚太和。
门庭春暖生光彩； 事业时荣乐太平。
爆竹频传迎百福； 桃符重写纳千祥。
四野讴歌逢盛世； 万民载德庆新年。
一转阳和新宇宙； 重逢春色旧乾坤。
岭上梅花迎岁早； 堤边杨柳得春先。
四时佳气亲仁里； 五色祥云积善家。
千祥云集家声远； 百福年增世业长。
一道祥光腾吉宇； 四时佳气蔼重门。
化日光天瞻气宇； 和风甘雨养心田。
满园桃李逢春发； 入室芝兰竟日香。
秋菊春桃随气运； 粗茶淡饭养天真。
人有佛心诸善集； 家无俗累一身轻。
座揽清辉万川月； 胸涵和气四时春。
胸中云梦波澜阔； 眼底沧浪宇宙宽。
地无寒谷春常在； 居有芳邻德不孤。
守本分而安岁月； 凭天理以度春秋。
地尽栽花心种德； 楼虽积谷腹藏书。
静坐莲池香满袖； 晓行花径露沾衣。
心收静里寻真乐； 眼放长空得大观。
天泰地泰三阳泰； 人和事和万事和。
清灵静泰宽私欲； 醇泊旷宇养天和。
春风大雅能容物； 秋水文章不染尘。
福慧双修须及物； 身名俱泰要留余。
好书悟后三更月； 良友来时四座春。
书有未曾经我读； 事无不可对人言。
根深叶茂无疆业； 源远流长有道财。
三春草长如人意； 万里河流似利源。
财如晓日腾云起； 利似春潮带雨来。
经营不让陶朱富； 贸易常存管鲍风。
五湖寄居陶公业； 四海交游晏子风。
道之所在财方聚； 义以为归利倍长。
财如白燕成群至； 利似青蜉结队来。
门迎晓日财源广； 户纳春风吉庆多。
百货风行财政裕； 万商云集市声欢。
善性经营多得利； 良心交易永生财。
户满春风春满户； 门盈喜气喜盈门。
和气平添春色蔼； 祥光常与日华新。
居家自有天伦乐； 处世惟存地步宽。
读可荣身耕得粟； 勤能致富俭恒丰。
吉地祥光开泰运； 衡门旭日耀阳春。
办事要从宽处想； 用心先取对方宽。
知足四时居乐境； 宽怀到处遇春风。
知足乃为真学问； 诚身具见大经纶。
澄怀复辟三台座； 朗照心开众妙门。
福地行仁终有获； 心田种德胜栽花。
出生无上菩提树； 长养最胜智慧门。
万象随缘观自在； 鸟啼花香月临溪。
勇猛护持于佛法； 愿常利益诸世间。
广大智慧无所碍； 自然觉悟不由他。
静理禅机翻贝叶； 闲中妙句咏梅花。
光明照耀靡不及； 智能增长无有边。
菩提树老心同静； 般若经深手自抄。
如来为说广大法； 汝等应生欢喜心。
清净庄严超众圣； 慈悲喜舍度群伦。
普净福海除众苦； 广说佛道悟群生。
栋拂云霞饶紫气； 家传诗礼足春风。
潭第鼎新容驷马； 华堂锺秀毓人龙。
日月光华临画栋； 山川环拱映雕栏。
一代规模绳祖武； 百年奎璧焕文章。
江山聚秀来新宇； 奎璧联辉映华堂。
连理枝头并蒂开； 合欢席上烛双辉。
日月交辉如合璧； 门庭美事似联珠。
七宝妆开仁寿镜； 双辉烛绽吉祥花。
百子帐开留半臂； 五丝缕细结同心。
两姓联姻迎凤侣； 三星有耀兆螽斯。
爆竹一声除旧岁； 梅花数点报新春。
爆竹声中除旧岁； 梅花香里报新春。
锦绣春明花富贵； 琅玕画静竹平安。
吉祥草发亲仁里； 富贵花开画锦堂。
千门共贴宜春字； 万户同张换岁符。
瑞日祥云莺谷暖； 和风甘雨雉郊春。
瑞日芝兰光世泽； 春风棠棣振家声。
九天日月开新运； 万里笙歌醉太平。
花迎喜气皆如笑； 鸟识歌声亦解歌。
真学问自五伦起； 大文章从六经来。
去岁曾究千里目； 今年更上一层楼。
鲲鹏展翅乾坤大； 桃李争春天地宽。
国正华年花烂熳； 人逢盛世寿增添。
举国江山俱似画； 满天春色最宜人。
大地春风温我宅； 中天日丽到吾家。
绿柳迎春歌富岁； 红梅破雪兆丰年。
风和日丽春常驻； 人寿年丰福永存。
向阳村舍春光媚； 和睦人家幸福多。
大地时时腾紫瑞； 春风处处醉芳菲。
硕果累累辞旧岁； 歌声阵阵庆新年。
人寿年丰家家乐； 国泰民安处处春。
国逢安定百事好； 时际芳春万象新。
喜看三春花千树； 笑饮丰年酒一杯。
五湖四海皆春色； 万水千山尽朝晖。
春风轻拂千山绿； 旭日东升万里红。
天上月明千里共； 人间春色九州同。
冬去犹留诗意在； 春来身入画图中。
山青水秀风光好； 人寿年丰喜事多。
高天冬去苏万物； 大地春回放面花。
花承朝露千枝发； 莺感春风百啭鸣。
腊梅吐芳迎红日； 绿柳展枝舞春风。
穷而有志思壮举； 学不自满求创新。
天增岁月不增寿； 春满人间福满门。
春回大地千峰秀； 日暖神州万木荣。
旭日融和开柳眼； 春风摇曳送莺喉。
碧岸雨收莺语柳； 蓝天日暖玉生香。
处处桃花频送暖； 年年春色去还来。
伯仲之间见伊吕； 先生有道出羲皇。
不知明月为谁好； 更有澄江消客愁。
侧身天地更怀古； 独立苍茫自咏诗。
楚天不断四时雨； 花气浑如百合香。
东阁官梅动诗兴； 南极老人应寿昌。
高山之外皆培塿； 凭仙忽若无丹青。
歌词自作风格老； 诗卷长流天地间。
歌辞自作风格老； 诗卷长留天地间。
古来材大难为用； 老去悲秋强自宽。
剪取吴淞半江水； 安得广厦千万间。
锦江春色来天地； 玉垒浮云变古今。
旧时好事今能不； 我有新诗何处吟。
吏情更觉沧州远； 诗卷长留天地间。
窃攀屈宋宜方驾； 颇学阴何苦用心。
秋水才深四五尺； 落日更见渔樵人。
三年奔走空皮骨； 万古云霄一羽毛。
天涯春色催迟暮； 玉垒浮云变古今。
万里秋风吹锦水； 九重春色醉仙桃。
万牛回首丘山重； 鲸鱼破浪沧溟开。
新松恨不高千尺； 恶竹应须斩万竿。
逸群绝足信殊杰； 高秋爽气相鲜新。
愿见北地傅介子； 不减昔时陈太丘。
云白山青万余里； 江深竹静两三家。
暂止飞鸟将数子； 频来语燕定新巢。
寂寞寒窗空守寡； 俊俏佳人伴伶仃。
烟沿艳檐烟燕眼； 雾捂鸟屋雾物无。
无山得似巫山好； 何水能如河水清。
盗者莫来道者来； 闲人免进贤人进。
刘伶饮尽不留零； 贾岛醉来非假倒。
凤落梧桐梧落凤； 珠联璧合璧联珠。
松叶竹叶叶叶翠； 秋声雁声声声寒。
清风满地难容我； 明月何时再照人。
昨夜敲棋寻子路； 今朝对镜见颜回。
未出土时便有节； 及凌云处尚虚心。
虚心竹有低头叶； 傲骨梅无仰面花。
书山有路勤为径； 学海无涯苦作舟。
宝剑锋从磨砺出； 梅花香自苦寒来。
学海让我们游泳； 书林让我们欣赏。
你之心在书林里； 我的脑在学海中。
故作轩窗掩苍翠； 要将弦诵答潺湲。
学如黄鹤习如鹊； 勤如羽翼奋如翅。
